id_lokalId,byg026Opførelsesår,byg069Sikringsrumpladser,status,decade,latitude,longitude,oc_confidence,oc_formatted,oc_category,oc_type
F0E1A7A7-F0D1-479D-BE0F-577CE5B6FAD4,1953,35,6,1950s,56.1731372621211,10.18094395648382,10,"Hammershusvej 43, 8210 Aarhus V, Denmark",building,building
C2615F16-4CFD-441F-87FA-76620B315C44,1895,12,6,1930s,56.148025091596374,10.209662075504076,10,"Jægergårdsgade 152, 8000 Aarhus C, Denmark",building,building
22C5E26E-C2F3-4876-972C-1A911E779130,1972,100,6,1970s,56.1959668553998,10.169120568075734,9,"Kirstinesmindevej, 8200 Aarhus N, Denmark",road,road
6A1A1A8A-A231-4E7B-954C-E92FA9AD9808,1988,54,6,1980s,56.06757093558293,10.165481239470019,10,"Hørretvej 14A, 8320 Mårslet, Denmark",building,building
584DBB84-F4A1-41DF-A0E1-6D4EDB075593,1968,175,6,1960s,56.15347831963414,10.118500267507763,10,"Silkeborgvej 622, 8220 Brabrand, Denmark",building,building
E6BD8975-95DF-4C0F-89DF-F3A4365AA056,1949,178,6,1940s,56.15181018308181,10.212060052455307,10,"Toldbodgade 5, 8000 Aarhus C, Denmark",building,building
E3F17678-A33A-480C-A87D-F1A274CE2603,1988,47,6,1980s,56.1513362044711,10.195742950647706,10,"Lønvejen 12, 8000 Aarhus C, Denmark",building,building
D73244FD-8834-46B4-ADA2-338FE24B70DB,1955,550,6,1950s,56.15667673315107,10.205710950798949,10,"KiF Aarhus, Åboulevarden, 8000 Aarhus C, Denmark",building,building
7A62EC79-66C3-4B29-A55A-20DE3646EA7C,1968,95,6,1960s,56.14838285127894,10.146894664242827,10,"Åbyhøjgård 23, 8230 Åbyhøj, Denmark",building,building
49B74E78-05ED-4560-BCB4-BE74ABC6DAFD,1965,126,6,1960s,56.15172999445529,10.119140089433392,10,"Engdalsvej 69, 8220 Brabrand, Denmark",building,building
353EC611-3E99-4730-B7FE-B0109F31418D,1957,200,6,1950s,56.170502889631784,10.185555954068953,10,"Paludan-Müllers Vej 111, 8210 Aarhus V, Denmark",building,building
338D9327-9B6D-45E9-8038-90088B82109E,1987,112,6,1980s,56.10689033308301,10.168055415909883,10,"Sadelmagertoften 23, 8270 Højbjerg, Denmark",building,building
3138B32B-188B-45FF-88B2-E97183F471AB,1991,63,6,1990s,56.12827722673997,10.168841959543377,10,"Bjørnbaksvej 7, 8260 Viby, Denmark",building,building
78F7E380-913D-410B-898C-F5DC37BC97F2,1972,92,6,1970s,56.16015754486714,10.145097041086466,9,"Børnehuset Digterparken, Johannes Ewalds Vej, 8230 Åbyhøj, Denmark",education,kindergarten
EE9F2CCB-0691-4F8B-8CE3-8A00E5EB3A0D,1993,63,6,1990s,56.222377220174614,10.167646658022463,10,"Elevvej 14, 8200 Aarhus N, Denmark",building,building
C5461D56-FE78-46BC-80D0-FD4BCCA36C93,1982,65,6,1980s,56.16268772325993,10.200256465338043,9,"Vuggestuen Ny Vimmerby, Falstersgade, 8000 Aarhus C, Denmark",education,kindergarten
33867899-C60F-461E-A4C0-0E6585E035B0,1986,48,6,1980s,56.1615352689175,10.158375788712224,10,"Klokkervej 38, 8210 Aarhus V, Denmark",building,building
374DF3D7-E9B0-4E21-93DB-CD36D685C273,1982,102,6,1980s,56.04824954462556,10.198956470192636,9,"Egelund Idrætscenter, Egelundstien, 8340 Malling, Denmark",outdoors/recreation,sports_centre
C06F2FAF-CA0E-4679-9A42-B47A38F9FF06,1972,456,6,1970s,56.24219721150236,10.230380191907075,9,"Elsted Skole, Elsted Skolevej, 8520 Lystrup, Denmark",education,school
6A038DC7-652B-43C4-B186-C8B5AE1D660F,1979,36,6,1970s,56.10599478555586,10.137136025238489,10,"Sletvej 34, 8310 Tranbjerg, Denmark",building,building
