id_lokalId,byg026Opførelsesår,byg069Sikringsrumpladser,kommunekode,byg404Koordinat,status
87A3ABAD-F178-448F-BB62-A29A6B80DC28,1959,40,751,POINT (573681.87 6222742.53),6
875F8C40-DA0D-40B1-94CD-84369C0F5882,1991,78,751,POINT (569903.72 6225976.46),6
86AB6095-C52F-4403-9ED4-03FD53B7458F,1969,45,751,POINT (576565.63 6228735.05),6
8474A278-C961-4C45-8338-755EEBC0283E,1971,94,751,POINT (573029.07 6225221.55),6
829C752C-275C-44E2-A649-482D5FD0B2E8,1971,94,751,POINT (572910.88 6225110.03),6
80E6F1F7-2AD8-4A11-8F99-C5CD06A8C5C6,1960,112,751,POINT (570070.16 6223792.31),6
7FB7D1BA-5ADF-4190-96B8-2D016DEBB7D3,1962,25,751,POINT (572388.77 6224142.96),6
7EF0567C-2C5F-4A23-976E-F22D8525AB43,1972,45,751,POINT (571060.43 6224459.85),6
7945F8A2-977A-4D23-AD52-94CA64D7D0DC,1971,94,751,POINT (572859.48 6225068.1),6
77145BEC-70BF-45F9-A010-E592D6B668F4,1953,35,751,POINT (573305.12 6226003.04),6
76EB37CC-5F25-430D-9285-DDAED74DCF59,1983,50,751,POINT (574767.75 6223972.76),6
7623AC4F-737E-457D-A02A-833B2A184880,1968,300,751,POINT (573261.22 6225937.59),6
74CBE596-116C-42CC-B08F-15571C1C3D9C,1960,83,751,POINT (570149.28 6224036.86),6
7223945C-D8FE-4027-82EC-D27E03F5CB88,1954,16,751,POINT (573245.16 6224153.49),6
71F52D9A-2BDF-45F8-B03F-A63B0A02848A,1971,320,751,POINT (572861.52 6225795.88),6
71EE1C33-1693-4625-BA0F-3827B084165E,1971,72,751,POINT (572860.32 6225146.81),6
716DDCC2-D3B6-4767-8877-78FA1C73EE07,1953,234,751,POINT (573447.82 6225871.16),6
6E65F6AA-D9CD-4A37-899C-E48E03BA1924,1956,31,751,POINT (573280.91 6226013.15),6
6D8E582B-F059-4B7E-9977-145BD901C19E,1980,73,751,POINT (574700.86 6228857.36),6
6C6093E4-42EE-44D8-9BD1-C6B33984765F,1962,78,751,POINT (576645.92 6228440.48),6
6AD4D36C-1DC4-4BA0-8097-EDCEB1299DE1,1970,39,751,POINT (571077.29 6224365.18),6
6717A62E-2858-45CD-A83E-FFE3BE9B98AF,1959,54,751,POINT (572592.8 6224962.37),6
64B7EA49-548A-4576-B276-8CDA011EDA8E,1972,158,751,POINT (575071.8 6228733.81),6
